UF,Size,File,MaxTreeHeight,ArrayAccesses,RevisitConnections,RuntimeMs
WeightedQuickUnion,1k,a,4,7338,173,4.96
WeightedQuickUnion,1k,b,2,7690,100,1.75
WeightedQuickUnion,1k,c,1,9983,500,1.74
WeightedQuickUnion,1k,d,1,6986,0,1.00
WeightedQuickUnion,1k,e,1,6991,0,1.04
WeightedQuickUnion,10k,a,6,75869,1574,5.80
WeightedQuickUnion,10k,b,2,76944,1000,4.31
WeightedQuickUnion,10k,c,1,99984,5000,5.31
WeightedQuickUnion,10k,d,1,69985,0,2.73
WeightedQuickUnion,10k,e,1,69991,0,2.79
WeightedQuickUnion,100k,a,8,761147,16316,40.53
WeightedQuickUnion,100k,b,2,770016,10000,14.08
WeightedQuickUnion,100k,c,1,999983,50000,25.54
WeightedQuickUnion,100k,d,1,699984,0,14.52
WeightedQuickUnion,100k,e,1,699991,0,11.44
WeightedQuickUnion,1000k,a,8,7576423,161739,616.14
WeightedQuickUnion,1000k,b,2,7699658,100000,210.14
WeightedQuickUnion,1000k,c,1,9999982,500000,414.25
WeightedQuickUnion,1000k,d,1,6999982,0,226.77
WeightedQuickUnion,1000k,e,1,6999991,0,168.84
WQUUFPathCompression,1k,a,3,9773,173,0.82
WQUUFPathCompression,1k,b,2,10064,100,0.69
WQUUFPathCompression,1k,c,1,12981,500,0.76
WQUUFPathCompression,1k,d,1,8984,0,0.61
WQUUFPathCompression,1k,e,1,8989,0,0.28
WQUUFPathCompression,10k,a,4,98870,1574,3.38
WQUUFPathCompression,10k,b,2,100577,1000,1.82
WQUUFPathCompression,10k,c,1,129982,5000,2.44
WQUUFPathCompression,10k,d,1,89983,0,1.70
WQUUFPathCompression,10k,e,1,89989,0,1.18
WQUUFPathCompression,100k,a,4,986777,16316,21.45
WQUUFPathCompression,100k,b,2,1007309,10000,13.45
WQUUFPathCompression,100k,c,1,1299981,50000,57.09
WQUUFPathCompression,100k,d,1,899982,0,11.01
WQUUFPathCompression,100k,e,1,899989,0,9.66
WQUUFPathCompression,1000k,a,4,9858412,161739,389.29
WQUUFPathCompression,1000k,b,2,10071326,100000,157.39
WQUUFPathCompression,1000k,c,1,12999980,500000,383.66
WQUUFPathCompression,1000k,d,1,8999980,0,278.12
WQUUFPathCompression,1000k,e,1,8999989,0,98.93
